DDCTransactionIdB4A5E323441CB0D7DEE590AC50CE7DA9_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_921B1CEE478D3EDEA84BC29B4AF56900__FA617D6CC74F28A4A2EC956D9DC45CEB059B1697, StartTime=2016.11.15-11.09.49, HierarchicalDDC=, DataSize=131332, Duration=0.909846, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdC99930534075D50C3177DAB01A34A835_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_921B1CEE478D3EDEA84BC29B4AF56900__1A7565F3D4D7AFDEE5CBB2CEF087850F492EAD6C, StartTime=2016.11.15-11.09.49, HierarchicalDDC=, DataSize=33028, Duration=0.831060, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdC99930534075D50C3177DAB01A34A835_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_921B1CEE478D3EDEA84BC29B4AF56900__5A86277472AB897CE8C972FCC240760E7C794B21, StartTime=2016.11.15-11.09.49, HierarchicalDDC=, DataSize=8452, Duration=0.543673, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdB4A5E323441CB0D7DEE590AC50CE7DA9_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_921B1CEE478D3EDEA84BC29B4AF56900__BD2244ACBF503D5FF4C08823EF920D609EA98DC6, StartTime=2016.11.15-11.09.49, HierarchicalDDC=, DataSize=4437, Duration=0.070941, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionId61850C3F4F8EF26CF8E8BE84354C39A1_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0B38DEC346D1CF8BA237649A79A241A9_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.11.15-11.09.49, Duration=81.471176, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdB4A5E323441CB0D7DEE590AC50CE7DA9_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0B38DEC346D1CF8BA237649A79A24__247A18079D5C2279FEE850BC44EF8009C54C6EBA, StartTime=2016.11.15-11.09.49, HierarchicalDDC=, DataSize=524553, Duration=4.450221, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdC99930534075D50C3177DAB01A34A835_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0B38DEC346D1CF8BA237649A79A24__ABD5AA21D38509F21703CD858B794F104127993B, StartTime=2016.11.15-11.09.49, HierarchicalDDC=, DataSize=131335, Duration=0.697028, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionId954A77AA4979C1133EFD53BB7BACE9C4_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0B38DEC346D1CF8BA237649A79A24__0422C31BED5B102DF618F602692FB8E390C2606A, StartTime=2016.11.15-11.09.49, HierarchicalDDC=, DataSize=33031, Duration=0.660799, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdC99930534075D50C3177DAB01A34A835_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0B38DEC346D1CF8BA237649A79A24__8D64A666FFF3286670317622A1C2E4687BC6AF81, StartTime=2016.11.15-11.09.49, HierarchicalDDC=, DataSize=8455, Duration=0.297952, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionId954A77AA4979C1133EFD53BB7BACE9C4_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0B38DEC346D1CF8BA237649A79A24__59C0F89EAD6D5F0878B24E20EA90D06962CA6135, StartTime=2016.11.15-11.09.49, HierarchicalDDC=, DataSize=4452, Duration=0.062488, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
