CookerStat, GenerateAssetRegistry=0.020832, Initialize=0.109881, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId49AFCA804BF55AD8E26CFC996B5190A1_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_22298555446516AAB65702BA6F436__3281A9D8547D05DA04ACE1D97ED5CDCBFE39FC4B, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=65799, Duration=5.236611, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId49AFCA804BF55AD8E26CFC996B5190A1_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_22298555446516AAB65702BA6F436__BD487C3A56679EB09105D72BFA42FBE60DE27F30, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=16647, Duration=65.742775, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId4C99C2C74FC6095F08C32B8FCA6543F7_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_22298555446516AAB65702BA6F436__50E4EEED6742BEB6765D37A5BA4A8CC705D53B26, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=4358, Duration=3.654793, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId8014D72241EAC9601EF39990C91C4AF8_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_22298555446516AAB65702BA6F436__C6F0CAB3273A3C45506613CECDA70CB2F23B3D3F, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=3387, Duration=6.010618, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId5BAF7106409174E593810F8074538DD3_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_A4E7B62F46E2851783D7E8BEA5DA034A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.10.10-16.55.52, Duration=20.354471, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId4C99C2C74FC6095F08C32B8FCA6543F7_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_A4E7B62F46E2851783D7E8BEA5DA034A___1460A91016BB8214929FD01FA9459E4E2DBEAF75, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=262403, Duration=5.047034, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId8014D72241EAC9601EF39990C91C4AF8_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_A4E7B62F46E2851783D7E8BEA5DA034A___C80FB78209DD15B6CAB9ACF178DCE816A06742C6, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=65795, Duration=4.936546, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId49AFCA804BF55AD8E26CFC996B5190A1_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_A4E7B62F46E2851783D7E8BEA5DA034A___3C0447A7B320E05D85CB6A57DFEE153B41DD3FEC, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=16643, Duration=36.508366, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId8014D72241EAC9601EF39990C91C4AF8_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_A4E7B62F46E2851783D7E8BEA5DA034A___6DF01F6B7DECFF326FB9C4AD5A6D9E407684D0DF, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=6882, Duration=31.487595, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId5BAF7106409174E593810F8074538DD3_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_516BCC79466F344857F523AB61EC30B6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.10.10-16.55.52, Duration=150.406418, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId4C99C2C74FC6095F08C32B8FCA6543F7_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_516BCC79466F344857F523AB61EC3__587B86C47A5780001741F6210CB1A7EE90776BDC, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=262407, Duration=5.000848, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId8014D72241EAC9601EF39990C91C4AF8_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_516BCC79466F344857F523AB61EC3__5677D6BAA40B32783475E59FF60C01D93A85AD89, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=65799, Duration=4.970964, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId49AFCA804BF55AD8E26CFC996B5190A1_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_516BCC79466F344857F523AB61EC3__2DD35DBBBF748920F09312F8C87A92C7BEFC91DF, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=16647, Duration=5.108014, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId49AFCA804BF55AD8E26CFC996B5190A1_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_516BCC79466F344857F523AB61EC3__290EA573399BDA581788399C5553AEDDA200E884, StartTime=2016.10.10-16.55.52, HierarchicalDDC=, DataSize=6899, Duration=4.724331, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId5BAF7106409174E593810F8074538DD3_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0D704C1C4F6896A8974E508607399BAE_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.10.10-16.55.53, Duration=404.196289, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId4C99C2C74FC6095F08C32B8FCA6543F7_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0D704C1C4F6896A8974E508607399BAE___171A9E1CD7DC509AA19983EBE82B3C3A6E776B21, StartTime=2016.10.10-16.55.54, HierarchicalDDC=, DataSize=4194565, Duration=17.284412, RunGuid=RunID79DB51624897369D27780AA03A67645D
